Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Yrs_since_inception,Outlet_Size,Outlet_Location_Type,Outlet_Type,sales
10,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,17,Medium,Tier 1,Supermarket Type1,3791.0652
8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,7,Medium,Tier 3,Supermarket Type2,1609.9044
13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,19,Small,Tier 1,Supermarket Type1,3435.528
9.8,Low Fat,0.02681843,Meat,126.002,OUT013,29,High,Tier 3,Supermarket Type1,2150.534
13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,17,Medium,Tier 1,Supermarket Type1,2527.3768
21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,7,Medium,Tier 3,Supermarket Type2,6768.5228
12.15,Regular,0.042277867,Canned,126.5046,OUT013,29,High,Tier 3,Supermarket Type1,373.5138
6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,18,Medium,Tier 3,Grocery Store,358.2004
19.6,Low Fat,0,Health and Hygiene,153.3024,OUT045,14,Medium,Tier 2,Supermarket Type1,2428.8384
10,Low Fat,0.025879577,Canned,265.2226,OUT045,14,Medium,Tier 2,Supermarket Type1,5815.0972
15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,19,Small,Tier 1,Supermarket Type1,2576.646
7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,19,Small,Tier 1,Supermarket Type1,3134.5864
10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,29,High,Tier 3,Supermarket Type1,850.8924
9.895,Regular,0.028696932,Canned,117.0492,OUT013,29,High,Tier 3,Supermarket Type1,810.9444
10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,9,Medium,Tier 2,Supermarket Type1,3121.2704
12.15,Low Fat,0.028760013,Household,151.4708,OUT017,9,Medium,Tier 2,Supermarket Type1,4815.0656
7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,7,Medium,Tier 3,Supermarket Type2,6258.52
9.195,Low Fat,0.048157338,Household,106.1622,OUT045,14,Medium,Tier 2,Supermarket Type1,2117.244
8.365,Low Fat,0.071958197,Hard Drinks,38.0506,OUT049,17,Medium,Tier 1,Supermarket Type1,796.9626
15.1,Low Fat,0.173481304,Snack Foods,194.511,OUT046,19,Small,Tier 1,Supermarket Type1,4910.275
10,Low Fat,0,Fruits and Vegetables,246.9144,OUT018,7,Medium,Tier 3,Supermarket Type2,3185.1872
7.97,Regular,0.040071131,Meat,87.3514,OUT045,14,Medium,Tier 2,Supermarket Type1,1062.6168
17.7,Low Fat,0.195068226,Snack Foods,185.4266,OUT010,18,Medium,Tier 3,Grocery Store,184.4266
19.35,Low Fat,0.033082215,Meat,172.5738,OUT035,12,Small,Tier 2,Supermarket Type1,4865.6664
13.65,Regular,0.078946455,Dairy,186.024,OUT045,14,Medium,Tier 2,Supermarket Type1,1118.544
17.6,Low Fat,0.041700756,Soft Drinks,164.8526,OUT045,14,Medium,Tier 2,Supermarket Type1,2302.3364
8.645,Low Fat,0.143422643,Health and Hygiene,95.841,OUT046,19,Small,Tier 1,Supermarket Type1,2027.361
15.6,Regular,0.105296072,Snack Foods,170.1764,OUT046,19,Small,Tier 1,Supermarket Type1,3435.528
15.85,Regular,0.121531501,Baking Goods,59.222,OUT013,29,High,Tier 3,Supermarket Type1,599.22
18.25,Low Fat,0,Starchy Foods,164.7526,OUT045,14,Medium,Tier 2,Supermarket Type1,4604.6728
7.855,Low Fat,0.011324862,Canned,189.6188,OUT017,9,Medium,Tier 2,Supermarket Type1,2285.0256
7.825,Low Fat,0.186357148,Household,254.3698,OUT049,17,Medium,Tier 1,Supermarket Type1,5580.7356
8.39,Regular,0.024205661,Frozen Foods,114.0176,OUT046,19,Small,Tier 1,Supermarket Type1,2290.352
12.85,Low Fat,0.033230816,Snack Foods,172.3422,OUT049,17,Medium,Tier 1,Supermarket Type1,1207.0954
19,Low Fat,0.112556507,Frozen Foods,104.9622,OUT017,9,Medium,Tier 2,Supermarket Type1,1587.933
5.905,Low Fat,0,Canned,222.5456,OUT045,14,Medium,Tier 2,Supermarket Type1,5305.0944
7.76,Low Fat,0.059352241,Snack Foods,101.87,OUT046,19,Small,Tier 1,Supermarket Type1,1697.79
11.8,Regular,0.014087057,Frozen Foods,180.3344,OUT046,19,Small,Tier 1,Supermarket Type1,1427.4752
16.75,Low Fat,0.045230944,Snack Foods,187.9556,OUT018,7,Medium,Tier 3,Supermarket Type2,4693.89
15.5,Regular,0.12639886,Fruits and Vegetables,177.0028,OUT017,9,Medium,Tier 2,Supermarket Type1,2479.4392
6.055,Low Fat,0.025403898,Fruits and Vegetables,160.992,OUT035,12,Small,Tier 2,Supermarket Type1,2716.464
6.305,Regular,0.123115764,Snack Foods,95.6436,OUT046,19,Small,Tier 1,Supermarket Type1,661.8052
20.85,Low Fat,0.039624006,Meat,117.2808,OUT049,17,Medium,Tier 1,Supermarket Type1,1523.3504
20.75,Low Fat,0.040421193,Fruits and Vegetables,122.173,OUT010,18,Medium,Tier 3,Grocery Store,369.519
8.895,Low Fat,0.105274111,Dairy,39.9138,OUT049,17,Medium,Tier 1,Supermarket Type1,690.4346
19.6,Low Fat,0.033970195,Soft Drinks,55.1614,OUT045,14,Medium,Tier 2,Supermarket Type1,1381.535
19.7,Low Fat,0.053212652,Fruits and Vegetables,57.893,OUT035,12,Small,Tier 2,Supermarket Type1,622.523
9.8,Low Fat,0.024378706,Health and Hygiene,114.5492,OUT035,12,Small,Tier 2,Supermarket Type1,1274.3412
12.15,Low Fat,0.131383762,Frozen Foods,246.046,OUT049,17,Medium,Tier 1,Supermarket Type1,1231.73
8.75,Regular,0.07461309,Fruits and Vegetables,187.4556,OUT035,12,Small,Tier 2,Supermarket Type1,3755.112
8.75,Regular,0.074627201,Fruits and Vegetables,187.8556,OUT046,19,Small,Tier 1,Supermarket Type1,1314.2892
13.3,Low Fat,0.063695084,Frozen Foods,151.0708,OUT045,14,Medium,Tier 2,Supermarket Type1,1805.6496
8.31,Regular,0.115857223,Snack Foods,179.1028,OUT049,17,Medium,Tier 1,Supermarket Type1,3896.2616
16.75,Regular,0.024832806,Soft Drinks,38.7822,OUT013,29,High,Tier 3,Supermarket Type1,667.7974
19.75,Low Fat,0.034027909,Snack Foods,212.0902,OUT018,7,Medium,Tier 3,Supermarket Type2,3185.853
17.1,Regular,0.0467696,Canned,141.1838,OUT013,29,High,Tier 3,Supermarket Type1,2247.7408
10.5,Regular,0.116576702,Baking Goods,163.121,OUT013,29,High,Tier 3,Supermarket Type1,1794.331
6.635,Regular,0,Baking Goods,121.3098,OUT045,14,Medium,Tier 2,Supermarket Type1,2530.7058
14.15,Low Fat,0.035913805,Soft Drinks,41.4138,OUT013,29,High,Tier 3,Supermarket Type1,812.276
13.3,Low Fat,0.079806266,Dairy,232.53,OUT046,19,Small,Tier 1,Supermarket Type1,699.09
8.89,Low Fat,0.005505481,Frozen Foods,102.4016,OUT017,9,Medium,Tier 2,Supermarket Type1,2732.4432
9.1,Regular,0,Breads,173.2054,OUT045,14,Medium,Tier 2,Supermarket Type1,3151.8972
7.5,Low Fat,0.032677678,Frozen Foods,239.0906,OUT049,17,Medium,Tier 1,Supermarket Type1,5942.265
16.85,Regular,0.160760054,Frozen Foods,192.4478,OUT017,9,Medium,Tier 2,Supermarket Type1,4843.695
7.485,Low Fat,0.06911065,Snack Foods,109.0228,OUT035,12,Small,Tier 2,Supermarket Type1,2542.0244
11.6,Low Fat,0.041177505,Soft Drinks,140.3154,OUT017,9,Medium,Tier 2,Supermarket Type1,2552.6772
11.65,Low Fat,0.040081193,Snack Foods,227.0694,OUT018,7,Medium,Tier 3,Supermarket Type2,1141.847
13,Low Fat,0.035307322,Household,47.5034,OUT017,9,Medium,Tier 2,Supermarket Type1,680.4476
12.65,Low Fat,0.063017847,Soft Drinks,159.0578,OUT045,14,Medium,Tier 2,Supermarket Type1,2085.9514
20.25,Regular,0.171938781,Canned,92.512,OUT010,18,Medium,Tier 3,Grocery Store,186.424
8.6,Regular,0.040197932,Canned,190.153,OUT035,12,Small,Tier 2,Supermarket Type1,3036.048
12.6,Low Fat,0.049058014,Breads,62.7194,OUT017,9,Medium,Tier 2,Supermarket Type1,866.8716
17.7,Low Fat,0.01161096,Frozen Foods,95.041,OUT035,12,Small,Tier 2,Supermarket Type1,868.869
14.15,Low Fat,0.183507295,Soft Drinks,82.4276,OUT046,19,Small,Tier 1,Supermarket Type1,1137.1864
19.25,Low Fat,0.102349519,Dairy,52.7956,OUT017,9,Medium,Tier 2,Supermarket Type1,928.1252
8.88,Low Fat,0.086708987,Hard Drinks,151.7682,OUT013,29,High,Tier 3,Supermarket Type1,762.341
20.5,Low Fat,0.032835147,Household,40.2822,OUT045,14,Medium,Tier 2,Supermarket Type1,707.0796
13.5,Low Fat,0.07266912,Household,160.292,OUT046,19,Small,Tier 1,Supermarket Type1,1438.128
8.89,Low Fat,0.009163216,Frozen Foods,101.7016,OUT010,18,Medium,Tier 3,Grocery Store,101.2016
7.855,Low Fat,0.011307038,Canned,188.5188,OUT018,7,Medium,Tier 3,Supermarket Type2,952.094
7.235,Low Fat,0.076855628,Household,116.0492,OUT046,19,Small,Tier 1,Supermarket Type1,1969.4364
6.92,Low Fat,0.038532062,Dairy,60.5852,OUT045,14,Medium,Tier 2,Supermarket Type1,1314.2892
9.3,Low Fat,0.043209581,Fruits and Vegetables,90.8172,OUT017,9,Medium,Tier 2,Supermarket Type1,535.3032
18.5,Low Fat,0.056816465,Others,132.1284,OUT010,18,Medium,Tier 3,Grocery Store,263.6568
8.02,Low Fat,0.019866705,Household,154.5972,OUT035,12,Small,Tier 2,Supermarket Type1,1402.1748
9.195,Low Fat,0.048331717,Household,105.1622,OUT017,9,Medium,Tier 2,Supermarket Type1,1693.7952
12.8,Low Fat,0.091221855,Others,105.5938,OUT045,14,Medium,Tier 2,Supermarket Type1,2143.876
16.6,Low Fat,0.027622076,Household,177.6344,OUT049,17,Medium,Tier 1,Supermarket Type1,2676.516
14,Regular,0,Frozen Foods,53.064,OUT035,12,Small,Tier 2,Supermarket Type1,905.488
18.6,Low Fat,0.039355947,Frozen Foods,246.3802,OUT049,17,Medium,Tier 1,Supermarket Type1,7370.406
16,Low Fat,0.060836524,Starchy Foods,226.8404,OUT035,12,Small,Tier 2,Supermarket Type1,6301.1312
17.6,Low Fat,0.082316506,Health and Hygiene,160.692,OUT035,12,Small,Tier 2,Supermarket Type1,1597.92
21.25,Low Fat,0.155350299,Snack Foods,178.237,OUT035,12,Small,Tier 2,Supermarket Type1,529.311
7.235,Low Fat,0.076841095,Household,117.5492,OUT035,12,Small,Tier 2,Supermarket Type1,1969.4364
14.6,Low Fat,0.151419185,Soft Drinks,50.3692,OUT017,9,Medium,Tier 2,Supermarket Type1,1034.6532
13.85,Regular,0.026001976,Frozen Foods,161.521,OUT018,7,Medium,Tier 3,Supermarket Type2,1794.331
13.65,Regular,0.073209447,Frozen Foods,197.6426,OUT018,7,Medium,Tier 3,Supermarket Type2,2768.3964
7.365,Low Fat,0.042560252,Fruits and Vegetables,226.172,OUT046,19,Small,Tier 1,Supermarket Type1,3169.208
18.35,Low Fat,0.014081156,Household,223.5746,OUT018,7,Medium,Tier 3,Supermarket Type2,3589.9936
5.465,Regular,0,Baking Goods,132.5626,OUT018,7,Medium,Tier 3,Supermarket Type2,262.3252
18.6,Low Fat,0.152918384,Breakfast,99.8358,OUT017,9,Medium,Tier 2,Supermarket Type1,1910.1802
13.85,Low Fat,0.030969274,Soft Drinks,140.9154,OUT017,9,Medium,Tier 2,Supermarket Type1,1701.7848
14,Regular,0.060376776,Frozen Foods,154.5656,OUT013,29,High,Tier 3,Supermarket Type1,2471.4496
14,Regular,0.04192285,Snack Foods,54.764,OUT013,29,High,Tier 3,Supermarket Type1,1331.6
5.905,Low Fat,0.045838211,Canned,222.5456,OUT018,7,Medium,Tier 3,Supermarket Type2,3315.684
7.27,Low Fat,0.071077939,Soft Drinks,114.2518,OUT046,19,Small,Tier 1,Supermarket Type1,2618.5914
6.155,Regular,0.094659871,Meat,214.556,OUT046,19,Small,Tier 1,Supermarket Type1,2769.728
19.5,Regular,0.077608838,Soft Drinks,233.4958,OUT017,9,Medium,Tier 2,Supermarket Type1,5375.0034
15.2,Low Fat,0.021327477,Canned,216.8824,OUT017,9,Medium,Tier 2,Supermarket Type1,2838.9712
12.15,Regular,0.042485444,Canned,125.0046,OUT018,7,Medium,Tier 3,Supermarket Type2,1743.0644
12.6,Low Fat,0.0489808,Breads,61.9194,OUT018,7,Medium,Tier 3,Supermarket Type2,619.194
14.5,Low Fat,0.019471688,Others,164.821,OUT035,12,Small,Tier 2,Supermarket Type1,2120.573
16.6,Low Fat,0.122918852,Fruits and Vegetables,173.0738,OUT017,9,Medium,Tier 2,Supermarket Type1,3823.0236
11.8,Regular,0.057373797,Meat,151.4366,OUT013,29,High,Tier 3,Supermarket Type1,1360.2294
13.1,Regular,0.044155597,Fruits and Vegetables,178.8318,OUT013,29,High,Tier 3,Supermarket Type1,3969.4996
17.7,Low Fat,0.291865402,Fruits and Vegetables,115.1834,OUT010,18,Medium,Tier 3,Grocery Store,345.5502
17.85,Low Fat,0,Breads,196.5794,OUT010,18,Medium,Tier 3,Grocery Store,585.2382
12.3,Regular,0.064750025,Starchy Foods,92.6804,OUT045,14,Medium,Tier 2,Supermarket Type1,1010.6844
11.8,Low Fat,0.098312421,Health and Hygiene,81.4618,OUT010,18,Medium,Tier 3,Grocery Store,161.1236
11.1,Low Fat,0.176573035,Baking Goods,157.4604,OUT045,14,Medium,Tier 2,Supermarket Type1,3010.7476
11.3,Low Fat,0.007294652,Meat,198.1426,OUT045,14,Medium,Tier 2,Supermarket Type1,988.713
5.75,Regular,0.075107656,Dairy,112.8176,OUT013,29,High,Tier 3,Supermarket Type1,1374.2112
11.35,Regular,0.045165796,Snack Foods,100.0016,OUT018,7,Medium,Tier 3,Supermarket Type2,1012.016
14,Low Fat,0.028907832,Health and Hygiene,130.431,OUT049,17,Medium,Tier 1,Supermarket Type1,778.986
19.75,Regular,0.018059621,Frozen Foods,179.766,OUT045,14,Medium,Tier 2,Supermarket Type1,2336.958
6.525,Low Fat,0.090436094,Household,85.0882,OUT049,17,Medium,Tier 1,Supermarket Type1,2233.0932
10.3,Low Fat,0.146399712,Meat,103.9648,OUT049,17,Medium,Tier 1,Supermarket Type1,1661.8368
5.78,Regular,0.074264356,Snack Foods,264.7568,OUT049,17,Medium,Tier 1,Supermarket Type1,4745.8224
11.85,Regular,0.050186726,Fruits and Vegetables,164.1526,OUT045,14,Medium,Tier 2,Supermarket Type1,3124.5994
16.35,Low Fat,0.020631654,Fruits and Vegetables,50.1324,OUT018,7,Medium,Tier 3,Supermarket Type2,467.3916
10.5,Low Fat,0.041395445,Fruits and Vegetables,37.6164,OUT046,19,Small,Tier 1,Supermarket Type1,540.6296
19,Regular,0.097313129,Frozen Foods,48.0718,OUT046,19,Small,Tier 1,Supermarket Type1,992.7078
14.6,Low Fat,0.059582996,Others,238.8538,OUT049,17,Medium,Tier 1,Supermarket Type1,6008.845
18.75,Low Fat,0.052146456,Health and Hygiene,104.628,OUT045,14,Medium,Tier 2,Supermarket Type1,745.696
5.26,Regular,0.041764487,Baking Goods,161.8868,OUT035,12,Small,Tier 2,Supermarket Type1,3275.736
18.25,Low Fat,0.054344186,Snack Foods,140.2154,OUT045,14,Medium,Tier 2,Supermarket Type1,1701.7848
15.1,Low Fat,0.052339069,Meat,242.7512,OUT046,19,Small,Tier 1,Supermarket Type1,4119.9704
15.5,Regular,0.042464962,Baking Goods,81.5934,OUT010,18,Medium,Tier 3,Grocery Store,327.5736
13.65,Low Fat,0.065732883,Frozen Foods,45.7402,OUT049,17,Medium,Tier 1,Supermarket Type1,780.9834
16.1,Low Fat,0.023625114,Soft Drinks,189.3846,OUT045,14,Medium,Tier 2,Supermarket Type1,3630.6074
12.85,Low Fat,0.165694219,Frozen Foods,39.7164,OUT010,18,Medium,Tier 3,Grocery Store,231.6984
9.5,Low Fat,0.041878397,Soft Drinks,32.99,OUT035,12,Small,Tier 2,Supermarket Type1,133.16
13.8,Low Fat,0.058091482,Dairy,245.1802,OUT035,12,Small,Tier 2,Supermarket Type1,5650.6446
5.78,Regular,0,Snack Foods,263.7568,OUT017,9,Medium,Tier 2,Supermarket Type1,2636.568
19.7,Low Fat,0.026903714,Household,96.0726,OUT045,14,Medium,Tier 2,Supermarket Type1,1272.3438
14.65,Low Fat,0,Household,161.5552,OUT010,18,Medium,Tier 3,Grocery Store,324.9104
6.67,Regular,0.150554711,Snack Foods,130.0626,OUT010,18,Medium,Tier 3,Grocery Store,131.1626
6.11,Regular,0,Fruits and Vegetables,131.2968,OUT010,18,Medium,Tier 3,Grocery Store,260.9936
13.65,Regular,0.134975628,Frozen Foods,260.0936,OUT010,18,Medium,Tier 3,Grocery Store,260.9936
17.2,Low Fat,0.15616879,Meat,160.6578,OUT013,29,High,Tier 3,Supermarket Type1,3690.5294
6.32,Low Fat,0,Meat,40.2822,OUT035,12,Small,Tier 2,Supermarket Type1,1139.1838
4.88,Regular,0.133700752,Baking Goods,52.9298,OUT049,17,Medium,Tier 1,Supermarket Type1,1995.4026
5.425,Regular,0.115119905,Baking Goods,88.3514,OUT017,9,Medium,Tier 2,Supermarket Type1,1416.8224
15.85,Regular,0.110030997,Frozen Foods,37.2506,OUT046,19,Small,Tier 1,Supermarket Type1,265.6542
7.5,Low Fat,0.051038045,Canned,121.7072,OUT017,9,Medium,Tier 2,Supermarket Type1,3552.7088
12.65,Low Fat,0.062837968,Soft Drinks,161.5578,OUT013,29,High,Tier 3,Supermarket Type1,2406.867
20.75,Low Fat,0.024129332,Fruits and Vegetables,124.173,OUT013,29,High,Tier 3,Supermarket Type1,2956.152
9,Low Fat,0,Canned,79.7644,OUT035,12,Small,Tier 2,Supermarket Type1,1649.8524
14.1,Low Fat,0.126035694,Fruits and Vegetables,86.4198,OUT045,14,Medium,Tier 2,Supermarket Type1,1133.8574
7.55,Low Fat,0.027164679,Canned,152.334,OUT035,12,Small,Tier 2,Supermarket Type1,2603.278
13,Low Fat,0.099325278,Household,45.406,OUT046,19,Small,Tier 1,Supermarket Type1,605.878
12.3,Regular,0.064565202,Starchy Foods,92.9804,OUT013,29,High,Tier 3,Supermarket Type1,1929.4884
17.25,Low Fat,0.113748685,Household,251.3724,OUT045,14,Medium,Tier 2,Supermarket Type1,6795.1548
15.85,Low Fat,0.020603511,Household,42.7112,OUT017,9,Medium,Tier 2,Supermarket Type1,639.168
18.85,Low Fat,0.052044976,Health and Hygiene,192.1846,OUT035,12,Small,Tier 2,Supermarket Type1,3248.4382
16.35,Regular,0.062764429,Fruits and Vegetables,227.6062,OUT017,9,Medium,Tier 2,Supermarket Type1,7222.5984
14.1,Low Fat,0.087977262,Dairy,229.0668,OUT035,12,Small,Tier 2,Supermarket Type1,3225.1352
7.905,Low Fat,0.010010425,Snack Foods,249.0408,OUT035,12,Small,Tier 2,Supermarket Type1,3755.112
12,Low Fat,0.033946163,Canned,179.3976,OUT013,29,High,Tier 3,Supermarket Type1,3440.8544
12.15,Regular,0.058414678,Fruits and Vegetables,163.4552,OUT035,12,Small,Tier 2,Supermarket Type1,974.7312
10.1,Low Fat,0.027106459,Meat,75.367,OUT049,17,Medium,Tier 1,Supermarket Type1,535.969
17.5,Low Fat,0.027022883,Frozen Foods,262.491,OUT017,9,Medium,Tier 2,Supermarket Type1,5259.82
17.1,Low Fat,0.128937661,Fruits and Vegetables,112.3886,OUT018,7,Medium,Tier 3,Supermarket Type2,1779.0176
7.785,Low Fat,0.088846306,Fruits and Vegetables,61.451,OUT049,17,Medium,Tier 1,Supermarket Type1,759.012
11.8,Regular,0.09357779,Snack Foods,125.9704,OUT013,29,High,Tier 3,Supermarket Type1,1877.556
13.15,Regular,0.165694678,Fruits and Vegetables,171.8764,OUT045,14,Medium,Tier 2,Supermarket Type1,3779.0808
8.5,Low Fat,0.098438394,Canned,51.1324,OUT017,9,Medium,Tier 2,Supermarket Type1,259.662
8.645,Low Fat,0.143303291,Health and Hygiene,96.341,OUT013,29,High,Tier 3,Supermarket Type1,193.082
17.6,Regular,0.076276208,Meat,110.9202,OUT045,14,Medium,Tier 2,Supermarket Type1,1687.803
9.1,Low Fat,0.175103435,Baking Goods,127.5362,OUT017,9,Medium,Tier 2,Supermarket Type1,4655.9394
12.8,Regular,0.023511371,Meat,225.9404,OUT013,29,High,Tier 3,Supermarket Type1,4950.8888
7.63,Low Fat,0.06105276,Soft Drinks,95.4436,OUT035,12,Small,Tier 2,Supermarket Type1,1418.154
9.285,Regular,0.049559042,Frozen Foods,246.4144,OUT017,9,Medium,Tier 2,Supermarket Type1,1225.072
13.6,Regular,0.119418124,Dairy,231.03,OUT045,14,Medium,Tier 2,Supermarket Type1,5359.69
8.895,Low Fat,0.072545601,Breakfast,176.237,OUT045,14,Medium,Tier 2,Supermarket Type1,1764.37
16.35,Low Fat,0.090486828,Household,195.211,OUT013,29,High,Tier 3,Supermarket Type1,2553.343
17.6,Low Fat,0.056245075,Frozen Foods,43.3454,OUT013,29,High,Tier 3,Supermarket Type1,1006.6896
7.975,Low Fat,0.014618973,Baking Goods,85.225,OUT013,29,High,Tier 3,Supermarket Type1,1081.925
15.85,Low Fat,0.043479126,Starchy Foods,36.7164,OUT017,9,Medium,Tier 2,Supermarket Type1,308.9312
15.7,Low Fat,0.045166237,Frozen Foods,178.666,OUT013,29,High,Tier 3,Supermarket Type1,2516.724
8.985,Regular,0.057827101,Frozen Foods,128.831,OUT046,19,Small,Tier 1,Supermarket Type1,1428.141
20.35,Low Fat,0.089394766,Dairy,260.1594,OUT013,29,High,Tier 3,Supermarket Type1,2093.2752
6.59,Low Fat,0.10550944,Fruits and Vegetables,85.6908,OUT013,29,High,Tier 3,Supermarket Type1,1929.4884
19.85,Low Fat,0.005234153,Dairy,264.0884,OUT035,12,Small,Tier 2,Supermarket Type1,5829.7448
16.85,Low Fat,0.036390174,Snack Foods,91.4488,OUT046,19,Small,Tier 1,Supermarket Type1,2082.6224
16.75,Low Fat,0.081252534,Fruits and Vegetables,256.4988,OUT013,29,High,Tier 3,Supermarket Type1,7452.9652
17.6,Regular,0.076552407,Meat,110.5202,OUT017,9,Medium,Tier 2,Supermarket Type1,450.0808
7.905,Low Fat,0.016758569,Snack Foods,250.4408,OUT010,18,Medium,Tier 3,Grocery Store,500.6816
7.785,Regular,0.038288087,Fruits and Vegetables,103.1964,OUT018,7,Medium,Tier 3,Supermarket Type2,736.3748
7.825,Low Fat,0.186032678,Household,253.0698,OUT035,12,Small,Tier 2,Supermarket Type1,6088.0752
20.75,Low Fat,0.021370201,Soft Drinks,153.0024,OUT017,9,Medium,Tier 2,Supermarket Type1,2277.036
6.26,Regular,0.009866049,Meat,151.1366,OUT035,12,Small,Tier 2,Supermarket Type1,2267.049
18.2,Low Fat,0.082551042,Fruits and Vegetables,147.3734,OUT010,18,Medium,Tier 3,Grocery Store,296.9468
13,Low Fat,0.099729888,Household,46.306,OUT018,7,Medium,Tier 3,Supermarket Type2,559.272
20.25,Regular,0.018801549,Fruits and Vegetables,222.1772,OUT035,12,Small,Tier 2,Supermarket Type1,5559.43
8.695,Low Fat,0.119721451,Household,95.5094,OUT049,17,Medium,Tier 1,Supermarket Type1,1237.7222
7.27,Low Fat,0.071222087,Soft Drinks,113.5518,OUT045,14,Medium,Tier 2,Supermarket Type1,569.259
12.85,Low Fat,0.033287541,Fruits and Vegetables,198.4768,OUT045,14,Medium,Tier 2,Supermarket Type1,1379.5376
7.075,Low Fat,0.05858462,Dairy,142.7128,OUT018,7,Medium,Tier 3,Supermarket Type2,1869.5664
8.195,Low Fat,0.031452265,Baking Goods,94.3462,OUT049,17,Medium,Tier 1,Supermarket Type1,925.462
7.09,Low Fat,0.00721395,Baking Goods,47.9034,OUT035,12,Small,Tier 2,Supermarket Type1,583.2408
6.095,Low Fat,0.081196619,Others,141.4154,OUT046,19,Small,Tier 1,Supermarket Type1,1418.154
