Taxi_dist,Market_dist,Hospital_dist,Carpet_area,Builtup_area,Parking_type,City_type,Rainfall,Price_house
,,8735,1841,2230,No Parking,CAT A,920,7688000
13120,15147,20263,1496,1791,Not Provided,CAT A,1240,6703000
1868,9951,9760,1504,1827,Open,CAT A,840,7823000
8643,12365,13695,1524,1808,Not Provided,CAT B,460,6227000
8121,9372,10995,1148,1371,Open,CAT A,940,4976000
11100,10338,14201,1468,1744,No Parking,CAT A,590,7366000
6126,8116,14091,1310,1558,Not Provided,CAT A,890,7232000
10187,12921,13539,1321,1579,Covered,CAT B,770,6889000
4053,7724,8975,992,1192,Not Provided,CAT C,900,3418000
9932,8958,14087,1540,1857,Open,CAT C,1020,5826000
8385,12977,14868,1807,2149,Not Provided,CAT B,910,3812000
9236,12932,14681,1526,1853,Open,CAT C,660,4907000
11195,16650,18762,1406,1677,Open,CAT A,480,6166000
11749,11673,16036,1703,2055,No Parking,CAT C,1080,3783000
5159,12872,9786,1575,1872,Covered,CAT C,690,5227000
11291,8711,14479,1309,1572,Open,CAT C,510,5228000
5312,12616,12095,1488,1807,Open,CAT A,1030,7081000
12001,16298,15585,1658,1988,Not Provided,CAT B,370,7153000
9024,9404,13234,1863,2245,Open,CAT A,640,7726000
6209,10808,11285,1458,1725,Not Provided,CAT A,750,7555000
5770,12932,13163,1604,1909,Open,CAT C,370,3373000
6697,8730,11209,1575,1899,Open,CAT B,840,6627000
5899,7614,9374,1525,1829,Covered,CAT A,840,5582000
9939,14835,15351,1451,1737,Open,CAT A,890,6843000
12336,14878,17719,1390,1687,Open,CAT A,620,7399000
10238,9621,12102,1442,1742,Open,CAT A,310,6280000
10664,7432,14294,1620,1922,Covered,CAT B,550,3374000
13071,15127,17387,1251,1527,Open,CAT C,380,6383000
7826,13333,11983,1318,1606,Covered,CAT C,1200,2441000
10539,14728,14223,1647,1962,No Parking,CAT A,800,7002000
11355,11024,16005,1829,2175,No Parking,CAT A,870,9224000
8387,11281,14879,1852,2227,Covered,CAT C,1220,6823000
12631,12290,14599,1699,2053,Open,CAT A,1080,8187000
5366,11566,12466,1325,1595,Open,CAT A,540,7386000
6571,10429,11465,1350,1634,Open,CAT B,880,7712000
5485,8488,12234,1347,1628,Covered,CAT A,120,7235000
5181,9038,10100,1397,1661,Open,CAT B,1410,4916000
8085,11993,13463,1245,1499,Open,CAT B,570,4565000
10612,8229,15696,1366,1649,Not Provided,CAT B,940,5278000
10625,13922,16123,1378,1658,Not Provided,CAT A,760,9096000
2999,11347,8760,1767,2110,Not Provided,CAT A,1200,6495000
10631,8780,15335,1184,1434,Not Provided,CAT C,670,4723000
8323,10395,11206,1257,1505,No Parking,CAT A,950,8325000
3696,6455,7925,,1846,Not Provided,CAT A,640,7808000
5758,10148,13301,1863,2247,Open,CAT C,480,5195000
9707,8985,13875,1881,2244,Open,CAT B,920,6603000
13392,13930,18104,1329,1609,Not Provided,CAT B,1150,6859000
4906,10462,12246,1539,1848,Open,CAT B,750,4714000
10006,10003,14751,1557,1861,No Parking,CAT A,370,6994000
6583,6438,10118,2007,2397,Open,CAT C,610,6589000
10100,11800,14304,1185,1418,Not Provided,CAT B,1150,8931000
9573,13264,16608,1657,2003,Not Provided,CAT B,1070,5854000
8231,10056,14031,1294,1539,Not Provided,CAT A,790,7813000
10213,13975,15747,1296,1559,No Parking,CAT A,1070,9230000
10437,13268,14922,1733,2097,Open,CAT B,730,5617000
6382,6892,13197,1641,1976,Open,CAT B,620,4605000
5732,12634,12938,1373,1648,Not Provided,CAT B,530,4339000
5402,6653,10474,1550,1845,Covered,CAT A,700,6175000
7911,13003,12926,1583,1907,Open,CAT C,680,2183000
8784,12817,14448,1428,1719,Not Provided,CAT C,1060,3980000
5566,9162,10429,1604,1925,Covered,CAT B,670,5437000
8228,13686,13223,1439,1735,Not Provided,CAT A,400,6247000
10414,11359,12764,1648,2003,Open,CAT A,910,8293000
12974,13529,18046,1025,1231,No Parking,CAT B,760,6372000
8712,10134,13615,2001,2394,Not Provided,CAT B,540,7918000
4616,9983,10644,1145,1370,Covered,CAT B,350,3821000
8370,13716,13115,1174,1426,Open,CAT C,980,2595000
11875,9962,14066,913,1106,Open,CAT A,860,5661000
8895,10317,12353,1199,1433,Not Provided,CAT A,1020,7371000
7653,11521,14161,1875,2254,Open,CAT A,1120,7040000
13339,15821,18449,1153,1397,No Parking,CAT C,1020,5044000
4355,6857,6316,1240,1492,Not Provided,CAT B,940,6684000
5577,8399,11778,1381,1660,Open,CAT B,970,5017000
2480,12328,8774,1328,,Open,CAT B,490,5849000
11184,12656,14583,1701,2030,Covered,CAT C,830,6014000
12728,12131,16681,1206,1456,Open,CAT C,920,3713000
6297,11128,11198,1476,1777,No Parking,CAT C,660,4289000
7531,12145,13548,1189,1439,Not Provided,CAT B,780,2622000
9061,8496,14431,1837,2220,No Parking,CAT A,340,5084000
4637,8636,11431,1319,1571,No Parking,CAT C,1190,2563000
7573,9645,14012,1617,1901,Open,CAT B,490,6077000
6923,7928,12000,1631,1967,Open,CAT B,1090,6960000
7635,10625,12975,1517,1805,Covered,CAT C,1040,4174000
8117,13349,16226,1764,2109,Not Provided,CAT C,1210,5013000
8726,12035,10170,1572,1869,Open,CAT C,1030,2175000
10437,13667,12454,1855,2197,Open,CAT B,1170,8049000
7974,13932,12772,1327,1571,Not Provided,CAT B,730,3402000
8705,12027,14258,1270,1515,Open,CAT B,720,6024000
6573,11137,9470,1734,2073,Open,CAT B,500,3946000
11017,8028,14703,1533,1848,Covered,CAT B,1070,5644000
10517,9839,13059,1390,1646,Open,CAT B,800,4684000
5896,14047,13272,1856,2216,Open,CAT B,1020,6482000
8051,10492,11114,1000,1215,Open,CAT A,1070,5252000
7097,13252,13997,1313,1586,Covered,CAT C,420,4594000
4219,5927,7860,1494,1799,Open,CAT C,510,3897000
9908,12872,13554,1386,1674,No Parking,CAT B,1210,5861000
8913,7116,12276,1979,2364,Not Provided,CAT C,660,3081000
7964,17040,14582,1057,1264,Open,CAT B,360,4773000
4019,7091,8720,902,1093,Covered,CAT A,1210,6464000
9242,13331,13748,1644,2003,No Parking,CAT C,-110,3275000
8801,11775,12950,1347,1622,Open,CAT B,560,4486000
10720,13072,14860,1314,1576,Covered,CAT B,360,5566000
8556,11931,13511,1513,1803,Not Provided,CAT C,970,5753000
8933,14064,14874,1305,1548,Not Provided,CAT A,480,7520000
8100,9239,10996,1180,1436,No Parking,CAT B,690,3733000
9354,8578,10360,1142,1352,Not Provided,CAT C,710,3528000
10692,13202,16298,1471,1768,Not Provided,CAT A,780,7061000
12386,12834,13614,1075,1288,Not Provided,CAT C,630,4972000
8541,13767,13081,1578,1885,Covered,CAT A,220,6885000
8450,10286,13820,1585,1916,Covered,CAT C,1110,5074000
9803,14989,14259,1391,1648,Open,CAT A,720,7707000
11142,10953,14331,1577,1892,Open,CAT A,560,7473000
9851,13410,16916,1092,1314,Open,CAT A,600,7653000
6089,13147,10479,1375,1681,Open,CAT A,440,6890000
11240,9781,15232,1523,1813,Covered,CAT A,520,4496000
10349,10540,14593,1373,1654,Not Provided,CAT B,410,4149000
6237,11896,12512,1550,1871,Covered,CAT A,590,7432000
5516,9426,11457,1614,1946,Covered,CAT A,740,7380000
,,12906,1677,2022,Open,CAT B,730,5589000
8362,9041,13899,1566,1889,Covered,CAT B,610,5640000
4603,9103,10753,2019,2396,Covered,CAT A,540,7157000
4904,11562,12490,1494,1806,Open,CAT B,1450,4364000
9722,13414,13617,1659,2008,No Parking,CAT C,620,3512000
8884,6700,11772,1766,2131,Covered,CAT B,340,5867000
10457,16441,17743,1293,1554,Covered,CAT A,970,7580000
3114,7163,8477,1375,1659,Covered,CAT A,1080,7664000
9132,11092,13571,1236,1484,No Parking,CAT B,560,3189000
11416,11521,18432,1332,1586,No Parking,CAT C,630,6167000
7492,12257,11623,1513,1825,Covered,CAT A,980,7595000
9464,10762,13998,1208,1459,Open,CAT C,930,4149000
7960,15487,11348,1190,1429,Open,CAT B,470,6617000
4850,12848,11995,1448,1734,Open,CAT C,680,3798000
9308,18281,18532,1771,2147,Open,CAT C,430,6271000
5889,12646,10210,1365,1645,Not Provided,CAT A,830,6047000
5622,11612,11735,1510,1810,No Parking,CAT C,950,3523000
6509,11842,12569,1458,1736,Open,CAT B,870,4855000
13991,16736,17999,1808,2157,Not Provided,CAT C,730,5681000
8257,11489,12600,1615,1954,Open,CAT B,760,4108000
7259,11982,13297,1640,1948,Covered,CAT C,960,5127000
7197,7872,11113,1060,1273,Open,CAT B,860,5750000
9119,11639,14374,1633,1968,Open,CAT C,330,8147000
9375,9562,12062,1222,1473,Not Provided,CAT A,630,4957000
12946,11622,15214,1619,1957,Open,CAT B,1280,4558000
10948,11622,14879,1624,1973,No Parking,CAT C,1440,4466000
5790,14387,9654,1887,2278,Open,CAT A,570,7624000
9107,9300,17103,1320,1583,Not Provided,CAT B,540,4372000
11198,10781,16789,1450,1750,Open,CAT C,480,4670000
8278,16251,13857,1455,1764,Covered,CAT A,390,8469000
7364,7633,12153,966,1172,Not Provided,CAT A,900,8547000
8692,9271,12352,1922,2290,Open,CAT A,290,8041000
8256,16042,16071,1678,1999,Not Provided,CAT C,740,4665000
11986,17552,19014,1638,1952,Not Provided,CAT A,690,8184000
8395,12052,12398,2215,,Covered,CAT B,990,6424000
4604,5839,7428,1145,1375,Open,CAT A,950,6359000
20662,20945,23294,24300,12730,Covered,CAT B,1130,150000000
4846,6375,9920,2004,2390,Open,CAT B,930,5013000
15321,11916,16620,1954,2378,Covered,CAT C,810,4582000
7618,7083,10051,1577,1879,Covered,CAT A,760,8671000
9666,10668,16002,1766,2138,Open,CAT B,580,4998000
7318,9441,12192,1362,1634,Not Provided,CAT A,770,8294000
8927,10229,13380,1886,2228,Open,CAT C,1530,4035000
8197,14389,13108,1291,1546,Open,CAT A,420,9395000
6276,10973,13016,1584,1897,Not Provided,CAT C,1210,4731000
7338,8547,12034,1397,1686,No Parking,CAT B,850,2130000
9410,12397,15927,1445,1709,Open,CAT A,1340,6218000
7047,9529,14945,1433,1707,Not Provided,CAT B,1160,6146000
7788,10946,14208,1269,1511,Open,CAT C,500,5436000
7373,8907,11449,1798,2134,Covered,CAT A,820,7205000
9415,12467,12841,1514,1822,Covered,CAT C,670,4809000
6792,11510,14652,1015,1216,No Parking,CAT C,460,2731000
604,6231,4922,1495,1799,Open,CAT B,950,5716000
12898,12966,15635,1759,2095,Open,CAT C,980,3419000
6153,10234,10502,1219,1468,Covered,CAT B,850,3560000
7281,8521,13216,1571,1877,Open,CAT B,580,5467000
8475,14837,13124,1404,1670,Open,CAT A,620,7673000
8873,10762,14213,1636,,Open,CAT B,710,6721000
9913,12642,15044,1124,1369,No Parking,CAT B,650,6354000
6650,6080,10017,1514,1837,Open,CAT B,1130,3669000
10027,11992,15660,1207,1476,Open,CAT A,720,8737000
5558,8275,10846,1484,1774,No Parking,CAT A,940,5980000
5162,6611,9842,1398,1678,No Parking,CAT B,920,4803000
8283,14385,15540,1769,2112,Open,CAT A,660,9665000
6469,10114,11295,1111,1322,Not Provided,CAT A,610,6550000
7754,9915,9861,1078,1305,Covered,CAT A,1190,5553000
9689,10159,11554,1876,2254,No Parking,CAT C,1340,2165000
13015,15026,15586,1909,2306,Not Provided,CAT C,820,3194000
5944,7143,12384,1940,2343,Covered,CAT A,1130,8469000
3132,8369,8805,1391,1683,Open,CAT B,890,6839000
7508,10841,11927,1496,1774,Not Provided,CAT A,810,7549000
3772,6427,10119,1412,1699,Open,CAT B,680,3920000
12545,14209,16889,1121,1345,No Parking,CAT A,320,8567000
12012,8507,12364,1691,2026,Open,CAT C,700,6053000
11605,12579,16088,1599,1946,Open,CAT B,940,7809000
,,12418,1477,1778,Open,CAT B,460,5786000
9154,12441,14070,1208,1467,Not Provided,CAT B,910,5072000
9468,11604,13764,1454,1737,Not Provided,CAT C,870,2309000
8044,14513,15360,1555,1881,Covered,CAT A,1260,9136000
7317,7638,13712,1554,1852,Open,CAT B,440,4812000
6860,12712,12638,1491,1800,Not Provided,CAT A,980,7562000
7270,9499,11654,1415,1697,Open,CAT B,1200,3942000
6832,13517,9360,1487,1801,Open,CAT B,890,5113000
6830,12550,12612,1339,1589,Not Provided,CAT C,1050,3389000
7823,9200,13495,1320,1562,Covered,CAT A,610,8717000
8773,13547,15551,1509,1799,No Parking,CAT A,960,3860000
6947,9487,10385,1406,1680,Not Provided,CAT A,860,6098000
7083,7275,10474,1264,1502,Open,CAT A,800,7941000
10057,8292,13595,1905,2280,Open,CAT B,1060,8235000
7214,13739,13314,1209,1464,Covered,CAT C,600,3674000
7935,7911,10691,1546,1829,Not Provided,CAT B,380,2772000
5787,14151,14705,1689,2044,Open,CAT C,1140,3226000
9259,8471,12891,1153,1381,No Parking,CAT B,730,5327000
11445,5955,13648,2063,2493,Covered,CAT C,810,5148000
6650,8409,12131,1848,2254,Open,CAT B,1000,5997000
6858,12850,12287,1718,2056,Covered,CAT A,1220,8360000
11309,8252,13199,1480,1773,Covered,CAT B,360,6302000
5727,5902,10754,1439,1724,Not Provided,CAT A,900,5092000
9328,13093,12841,1576,1896,Not Provided,CAT B,750,5645000
4049,4402,8614,1948,2374,Open,CAT A,930,8954000
5440,12550,11734,1613,1893,Not Provided,CAT C,1180,4603000
11037,9154,12853,1151,,Open,CAT B,1300,6701000
12977,12302,16496,896,1059,Open,CAT A,870,7511000
11246,10333,13997,1625,1943,Not Provided,CAT A,680,7452000
16233,15074,18566,1303,1587,No Parking,CAT A,1310,10231000
6824,6352,8577,1340,1605,Not Provided,CAT B,1000,5340000
4127,8367,9533,1410,1704,Open,CAT B,1130,5976000
6214,14164,14555,1432,1719,Covered,CAT B,990,4954000
12322,10530,16409,1891,2280,Covered,CAT C,360,5156000
5389,10389,11111,1322,1583,Open,CAT A,720,4951000
5900,10980,12617,1378,1670,Covered,CAT C,950,5861000
11537,13214,17191,1462,1732,Not Provided,CAT A,840,6826000
12794,17541,20046,1440,1733,No Parking,CAT A,1120,6531000
9405,12156,15118,1421,1724,Covered,CAT A,920,5209000
5508,7881,10157,1280,1530,Open,CAT C,1240,4386000
13275,9872,15303,1431,1710,Covered,CAT A,840,7417000
9475,9807,14405,,1771,Covered,CAT B,950,3492000
7807,9674,12678,1161,1404,Covered,CAT C,430,5838000
8634,11628,12786,1175,1405,Open,CAT A,810,9120000
11031,12462,13010,1395,1662,Open,CAT A,920,9094000
6266,13767,12066,1443,1755,Not Provided,CAT C,880,4933000
5359,8372,11239,1247,1523,Open,CAT C,1350,5350000
9569,10441,12905,1788,2133,Open,CAT B,1000,5459000
6465,10915,10058,1138,1375,Not Provided,CAT B,1220,5745000
10068,10816,13429,1709,2042,Open,CAT C,430,3324000
5499,10606,10603,1777,2145,Covered,CAT A,520,8079000
8395,12601,13089,1612,1918,Covered,CAT B,580,6100000
9204,10843,14663,1618,1943,Open,CAT B,460,4762000
6885,7314,10673,1311,1571,No Parking,CAT B,470,7209000
5728,10253,11216,1365,1638,Covered,CAT A,680,10292000
6669,11500,11948,1249,1503,Open,CAT A,950,6197000
4846,9003,10135,1373,1635,No Parking,CAT A,840,6104000
8850,10060,11765,1536,1836,Not Provided,CAT B,990,5206000
